PClass;	Name;	Sex;	Age;	Survived
3rd;	Dean, Miss Elizabeth Gladys (Millve);	female;	0.17;	true
3rd;	Danbom, Master Gilbert Sigvard Emanuel;	male;	0.33;	false
2nd;	Richards, Master George Sidney;	male;	0.8;	true
2nd;	Caldwell, Master Alden Gates;	male;	0.83;	true
3rd;	Aks, Master Philip;	male;	0.83;	true
1st;	Allison, Master Hudson Trevor;	male;	0.92;	true
2nd;	Becker, Master Richard F;	male;	1.0;	true
2nd;	Hamalainen, Master Viljo;	male;	1.0;	true
2nd;	LaRoche, Miss Louise;	female;	1.0;	true
3rd;	Dean, Master Bertram Vere;	male;	1.0;	true
3rd;	Johnson, Miss Eleanor Ileen;	female;	1.0;	true
3rd;	Klasen, Miss Gertrud Emilia;	female;	1.5;	false
3rd;	Sandstrom, Miss Beatrice Irene;	female;	1.5;	false
1st;	Allison, Miss Helen Loraine;	female;	2.0;	false
2nd;	Mallet, Master Andre;	male;	2.0;	true
2nd;	vratil, Master Edmond Roger;	male;	2.0;	true
2nd;	Quick, Miss Phyllis May;	female;	2.0;	true
2nd;	Wells, Master Ralph Lester;	male;	2.0;	true
3rd;	Andersson, Miss Ellis An Maria;	female;	2.0;	false
3rd;	Hirvonen, Miss Hildur E;	female;	2.0;	false
2nd;	LaRoche, Miss Simonne;	female;	3.0;	true
2nd;	vratil, Master Michel M;	male;	3.0;	true
2nd;	Richards, Master William Rowe;	male;	3.0;	true
3rd;	Aspland, Master Edvin Rojj Felix;	male;	3.0;	true
3rd;	Baclini, Miss Eugenie;	female;	3.0;	true
3rd;	Coutts, Master Neville;	male;	3.0;	true
1st;	Dodge, Master Washington;	male;	4.0;	true
2nd;	Becker, Miss Marion Louise;	female;	4.0;	true
2nd;	Wells, Miss Joan;	female;	4.0;	true
3rd;	Andersson, Master Sigvard Harald Elias;	male;	4.0;	false
3rd;	Johnson, Master Harold Theodor;	male;	4.0;	true
3rd;	Karun, Miss An Mary;	female;	4.0;	true
3rd;	Kink, Miss Louise Gretchen;	female;	4.0;	true
3rd;	Asplund, Master Carl Edgar;	male;	5.0;	false
3rd;	Asplund, Miss Lillian Gertrud;	female;	5.0;	true
3rd;	Emanuel, Miss Virginia Ethel;	female;	5.0;	true
1st;	Spedden, Master Robert Douglas;	male;	6.0;	true
2nd;	Harper, Miss Ni;	female;	6.0;	true
3rd;	Andersson, Miss Ebba Iris;	female;	6.0;	false
3rd;	Boulos, Master Akar;	male;	6.0;	false
3rd;	Goodwin, Master Sidney L;	male;	6.0;	false
2nd;	Hart, Miss Eva Miriam;	female;	7.0;	true
2nd;	Collyer, Miss Marjorie;	female;	8.0;	true
2nd;	Davis, Master John Morgan;	male;	8.0;	true
2nd;	Drew, Master Marshall Brines;	male;	8.0;	true
2nd;	Quick, Miss Winifred Vera;	female;	8.0;	true
3rd;	Andersson, Miss Ingeborg Constancia;	female;	9.0;	false
3rd;	Asplund, Master Clarence Gustaf Hugo;	male;	9.0;	false
3rd;	Boulos, Miss Laura;	female;	9.0;	false
3rd;	Coutts, Master William Leslie;	male;	9.0;	true
3rd;	Ford, Miss Maggie;	female;	9.0;	false
3rd;	Goldsmith, Master Frank John William;	male;	9.0;	true
3rd;	Goodwin, Master Harold V;	male;	9.0;	false
3rd;	Goodwin, Miss Jessie A;	female;	10.0;	false
3rd;	Van Impe, Miss Catharine;	female;	10.0;	false
1st;	Carter, Master William T II;	male;	11.0;	true
3rd;	Andersson, Miss Sigrid Elizabeth;	female;	11.0;	false
3rd;	Goodwin, Master William F;	male;	11.0;	false
2nd;	Becker, Miss Ruth Elizabeth;	female;	12.0;	true
2nd;	Watt, Miss Bertha;	female;	12.0;	true
1st;	Ryerson, Master John Borie;	male;	13.0;	true
2nd;	Mellenger, Miss Madeleine Violet;	female;	13.0;	true
3rd;	Abbott, Master Eugene Joseph;	male;	13.0;	false
3rd;	Asplund, Master Filip Oscar;	male;	13.0;	false
1st;	Carter, Miss Lucile Polk;	female;	14.0;	true
2nd;	Sweet, Mr George;	male;	14.0;	false
3rd;	Goodwin, Mr Charles E;	male;	14.0;	false
3rd;	Vestrom, Miss Hulda Amanda Adolfi;	female;	14.0;	false
1st;	Madill, Miss Georgette Alexandra;	female;	15.0;	true
2nd;	Brown, Miss Edith E;	female;	15.0;	true
3rd;	Banoura, Miss Ayout;	female;	15.0;	true
3rd;	Van der Planke, Mr Leon;	male;	15.0;	false
